Balanced Accuracy,Aggregate Average Precision,ROC_AUC,Matthews Correlation Coefficient
0.9375,0.8125,0.9642455970790378,0.9283791061780262
0.8879329004329004,0.8839285714285714,0.9401033321990152,0.8772220935552449
0.8950757575757576,0.6578947368421051,0.9404553508669167,0.887629443167483
0.8129870129870129,0.9375,0.901688090868181,0.7846789837639719
0.8362012987012987,0.5284090909090908,0.9258254977053302,0.8178963899198477
0.8839743589743589,0.8303571428571428,0.9391022340550372,0.8694975270497829
0.8538461538461538,0.661764705882353,0.9166851860001174,0.8370433164105702
0.8689102564102564,0.8125,0.9344427575348628,0.8482551076242087
0.9131410256410257,0.7999999999999998,0.9504325456199025,0.9020362299674366
0.7682692307692307,0.5394736842105263,0.8984209955863274,0.7510029244063552
