Balanced Accuracy,Aggregate Average Precision,ROC_AUC,Matthews Correlation Coefficient
0.7111471861471862,0.6171875,0.9606871225137977,0.6761147968014966
0.7239718614718615,0.488095238095238,0.9648814521317743,0.707170181246668
0.7683441558441558,0.9659090909090909,0.9706061745027595,0.7369589379838276
0.6973484848484848,0.48749999999999993,0.9687670845048423,0.6621032585785626
0.8177489177489178,0.4945652173913043,0.9772823364350425,0.7995239633203013
0.7682692307692307,0.9090909090909091,0.9602501638013652,0.7322826438601461
0.8317307692307692,0.6041666666666666,0.9818738468709864,0.8065961795188864
0.7487179487179487,0.5486111111111112,0.9683044032414743,0.7189852007785307
0.8291666666666667,0.8365384615384616,0.9857279218577846,0.8066608307619734
0.7493589743589744,0.49374999999999997,0.9765962157809984,0.7210914601827227
