Balanced Accuracy,Aggregate Average Precision,ROC_AUC,Matthews Correlation Coefficient
0.9541125541125541,0.9464285714285715,0.973834627571741,0.9493452308168715
0.9910714285714286,0.859375,0.9948846726190477,0.9897845638779853
0.9797077922077922,0.9083333333333334,0.9885652363100816,0.9795635055680695
1.0,0.9250000000000002,1.0,1.0
0.9797077922077922,0.8515625,0.9885585245403223,0.9795616534804062
0.9820512820512821,0.8583333333333334,0.9896669453734671,0.9782992473044418
1.0,0.875,1.0,1.0
0.9807692307692308,0.8046875,0.9890322762033289,0.9783985928761852
1.0,0.875,1.0,1.0
1.0,0.875,1.0,1.0
